Start Lat,Start Long,End Lat,End Long
33.98126,-84.15636,33.9818,-84.1567
33.9818,-84.1567,33.98228,-84.15702
33.98228,-84.15702,33.98254,-84.1572
33.98254,-84.1572,33.98273,-84.15734
33.98273,-84.15734,33.98313,-84.15759
33.98313,-84.15759,33.98332,-84.15772
33.98332,-84.15772,33.984,-84.15819
33.984,-84.15819,33.98443,-84.15849
33.98443,-84.15849,33.98463,-84.15862
33.98463,-84.15862,33.98483,-84.15876
33.98483,-84.15876,33.98499,-84.15887
33.98499,-84.15887,33.98505,-84.15891
33.98505,-84.15891,33.98527,-84.15908
33.98527,-84.15908,33.98568,-84.15937
33.98568,-84.15937,33.98586,-84.15949
33.98586,-84.15949,33.98607,-84.15964
33.98607,-84.15964,33.98649,-84.15994
33.98649,-84.15994,33.98707,-84.16034
33.98707,-84.16034,33.98746,-84.1606
33.98746,-84.1606,33.98763,-84.16071
33.98763,-84.16071,33.98802,-84.16093
33.98802,-84.16093,33.98834,-84.16104
33.98834,-84.16104,33.98855,-84.16109
33.98855,-84.16109,33.98879,-84.16114
33.98879,-84.16114,33.98909,-84.16115
33.98909,-84.16115,33.98935,-84.16113
33.98935,-84.16113,33.98942,-84.16113
33.98942,-84.16113,33.98971,-84.16107
33.98971,-84.16107,33.98979,-84.16106
33.98979,-84.16106,33.98992,-84.16101
33.98992,-84.16101,33.98999,-84.16099
33.98999,-84.16099,33.99014,-84.16094
33.99014,-84.16094,33.99047,-84.16083
33.99047,-84.16083,33.99064,-84.16079
33.99064,-84.16079,33.99085,-84.16076
33.99085,-84.16076,33.99105,-84.16076
33.99105,-84.16076,33.9913,-84.16079
33.9913,-84.16079,33.99145,-84.16085
33.99145,-84.16085,33.99163,-84.16092
33.99163,-84.16092,33.99193,-84.16109
33.99193,-84.16109,33.99212,-84.16122
33.99212,-84.16122,33.99238,-84.16141
33.99238,-84.16141,33.9928,-84.16172
33.9928,-84.16172,33.99299,-84.16185
33.99299,-84.16185,33.99314,-84.16196
33.99314,-84.16196,33.99344,-84.16212
33.99344,-84.16212,33.99374,-84.16227
33.99374,-84.16227,33.99394,-84.16234
